# xrslam-regression report v2
M allow_unpaced 0
M build_dir /tmp/xrreg/post_mobile
M config_from_string 1
M host KaidongdeMacBook-Pro.local
M lib /tmp/xrreg/post_mobile/xrslam-interface/libxrslam.dylib
M lib_sha256 33c6601fbbb1246f041968383fba2fb4caae4b80b3a3802b1cf1a04189d7f656
M lib_threading 1
M lib_version xrslam v0.5.0
M max_frames 160
M opt_inspection 1
M opt_lowlatency 1
M opt_threading 1
M pace 1
M python 3.14.7
M sensor_config sensor.yaml
M seq synth://
M settle_ms 200.0
M slam_config slam.yaml
M src_source synth
M src_synth_accel_bias (0.0, 0.0, 0.0)
M src_synth_accel_noise 0
M src_synth_bg_high 78
M src_synth_bg_low 40
M src_synth_blob_peak 240
M src_synth_blob_radius 3
M src_synth_blob_sigma 1.25
M src_synth_cam_rate 20
M src_synth_cx 376
M src_synth_cy 240
M src_synth_duration 12
M src_synth_fx 460
M src_synth_fy 460
M src_synth_gyro_bias (0.0, 0.0, 0.0)
M src_synth_gyro_noise 0
M src_synth_height 480
M src_synth_imu_rate 200
M src_synth_imu_scale 1
M src_synth_imu_seed 12345
M src_synth_num_landmarks 400
M src_synth_seed 20260823
M src_synth_t0 100
M src_synth_width 752
M tag run#0
M tool pw_tools/regression
M wall_start 1787425064.710
C idx frame_ts pose_ts state landmarks fusion_total qx qy qz qw tx ty tz push_rc lm_rc ms det_kp trk_kp inl_kp mapped_lm lm_published lm_usable core_seq core_imu degen settled
F 65 103.275000000 103.275000000 1 0 201 -0.679559 0.069090 -0.028831 0.729791 0.472342 -0.001341 -0.279663 0 0 0.773 180 176 180 157 0 0 65 10 0 1
F 66 103.325000000 103.325000000 1 0 210 -0.680818 0.073475 -0.030841 0.728105 0.489930 -0.003648 -0.287050 0 0 200.623 179 173 180 153 0 0 66 10 0 0
F 67 103.375000000 103.375000000 1 0 210 -0.682175 0.077778 -0.032911 0.726295 0.522482 -0.004651 -0.306802 0 0 0.025 175 172 179 153 0 0 67 10 0 1
F 68 103.425000000 103.425000000 1 0 210 -0.683575 0.081654 -0.035123 0.724448 0.537040 -0.007214 -0.315636 0 0 0.776 177 169 175 153 0 0 68 10 0 1
F 69 103.475000000 103.475000000 1 0 223 -0.685088 0.085270 -0.037413 0.722484 0.549870 -0.009284 -0.324277 0 0 200.558 176 173 177 159 0 0 69 10 0 0
F 70 103.525000000 103.525000000 1 0 223 -0.686667 0.088495 -0.039541 0.720482 0.550885 -0.012415 -0.327751 0 0 0.785 176 171 176 159 0 0 70 10 0 1
F 71 103.575000000 103.575000000 1 0 223 -0.688398 0.091568 -0.041951 0.718307 0.559576 -0.014258 -0.335467 0 0 0.717 180 175 176 159 0 0 71 10 0 1
F 72 103.625000000 103.625000000 1 0 223 -0.690215 0.094373 -0.044457 0.716045 0.565728 -0.016051 -0.342865 0 0 0.778 178 177 180 159 0 0 72 10 0 1
F 73 103.675000000 103.675000000 1 0 223 -0.692118 0.096912 -0.047054 0.713699 0.569056 -0.017799 -0.349895 0 0 0.784 179 173 178 159 0 0 73 10 0 1
F 74 103.725000000 103.725000000 1 0 223 -0.694097 0.099046 -0.049683 0.711303 0.571503 -0.018615 -0.356758 0 0 0.739 175 174 179 159 0 0 74 10 0 1
F 75 103.775000000 103.775000000 1 0 223 -0.696144 0.100912 -0.052336 0.708846 0.571325 -0.020144 -0.363370 0 0 0.788 174 173 175 159 0 0 75 10 0 1
F 76 103.825000000 103.825000000 1 0 223 -0.698283 0.102430 -0.055029 0.706314 0.569037 -0.021066 -0.368989 0 0 0.784 179 172 174 159 0 0 76 10 0 1
F 77 103.875000000 103.875000000 1 0 223 -0.700429 0.103646 -0.057732 0.703792 0.564477 -0.022216 -0.375075 0 0 0.787 178 176 179 159 0 0 77 10 0 1
F 78 103.925000000 103.925000000 1 0 223 -0.702629 0.104536 -0.060462 0.701234 0.557512 -0.023182 -0.380528 0 0 0.786 179 176 178 159 0 0 78 10 0 1
F 79 103.975000000 103.975000000 1 0 223 -0.704838 0.105004 -0.063163 0.698704 0.549419 -0.023301 -0.385880 0 0 0.792 175 175 179 159 0 0 79 10 0 1
F 80 104.025000000 104.025000000 1 0 223 -0.707034 0.105282 -0.065927 0.696184 0.536971 -0.024787 -0.390960 0 0 0.788 169 169 175 159 0 0 80 10 0 1
F 81 104.075000000 104.075000000 1 0 223 -0.709264 0.105182 -0.068509 0.693677 0.524634 -0.024815 -0.395583 0 0 0.790 168 167 169 159 0 0 81 10 0 1
F 82 104.125000000 104.125000000 1 0 223 -0.711530 0.104666 -0.070978 0.691182 0.516096 -0.024982 -0.402870 0 0 0.793 168 167 168 159 0 0 82 10 0 1
F 83 104.175000000 104.175000000 1 0 227 -0.713705 0.103950 -0.073507 0.688779 0.499729 -0.025312 -0.407202 0 0 0.761 168 168 168 164 0 0 83 10 0 1
F 84 104.225000000 104.225000000 1 0 227 -0.715859 0.103004 -0.075976 0.686413 0.479860 -0.025625 -0.410613 0 0 0.777 167 165 168 164 0 0 84 10 0 1
F 85 104.275000000 104.275000000 1 0 227 -0.717958 0.101719 -0.078328 0.684145 0.458806 -0.025732 -0.413800 0 0 0.779 166 161 167 164 0 0 85 10 0 1
F 86 104.325000000 104.325000000 1 0 227 -0.719949 0.100155 -0.080604 0.682016 0.435607 -0.026201 -0.417279 0 0 0.678 165 163 166 164 0 0 86 10 0 1
F 87 104.375000000 104.375000000 1 0 227 -0.721923 0.098454 -0.082777 0.679914 0.409632 -0.026722 -0.419208 0 0 0.774 164 158 165 164 0 0 87 10 0 1
F 88 104.425000000 104.425000000 1 0 227 -0.723782 0.096393 -0.084787 0.677982 0.383078 -0.026436 -0.421468 0 0 0.773 161 155 164 164 0 0 88 10 0 1
F 89 104.475000000 104.475000000 1 0 227 -0.725565 0.094100 -0.086572 0.676170 0.355723 -0.026186 -0.422970 0 0 0.773 160 156 161 164 0 0 89 10 0 1
F 90 104.525000000 104.525000000 1 0 227 -0.727226 0.091621 -0.088235 0.674509 0.326576 -0.025714 -0.424206 0 0 0.631 162 154 160 164 0 0 90 10 0 1
F 91 104.575000000 104.575000000 1 0 227 -0.728790 0.088994 -0.089667 0.672982 0.296449 -0.025029 -0.424507 0 0 0.773 161 154 162 164 0 0 91 10 0 1
F 92 104.625000000 104.625000000 1 0 227 -0.730164 0.086165 -0.091019 0.671678 0.264051 -0.024592 -0.425369 0 0 0.777 160 155 161 164 0 0 92 10 0 1
F 93 104.675000000 104.675000000 1 0 222 -0.731445 0.083175 -0.091963 0.670531 0.231178 -0.023902 -0.422501 0 0 0.774 160 154 160 163 0 0 93 10 0 1
F 94 104.725000000 104.725000000 1 0 222 -0.732639 0.080049 -0.092718 0.669504 0.199143 -0.022633 -0.420980 0 0 0.780 159 152 160 163 0 0 94 10 0 1
F 95 104.775000000 104.775000000 1 0 222 -0.733584 0.076810 -0.093312 0.668766 0.165621 -0.021942 -0.420484 0 0 1.565 161 152 159 163 0 0 95 10 0 1
F 96 104.825000000 104.825000000 1 0 222 -0.734408 0.073403 -0.093615 0.668201 0.132609 -0.020699 -0.419164 0 0 0.780 162 158 161 163 0 0 96 10 0 1
F 97 104.875000000 104.875000000 1 0 221 -0.735044 0.070058 -0.093723 0.667846 0.097960 -0.019058 -0.417590 0 0 200.372 162 152 162 173 0 0 97 10 0 0
F 98 104.925000000 104.925000000 1 0 221 -0.735737 0.066265 -0.093083 0.667560 0.078574 -0.019057 -0.424780 0 0 0.782 166 158 162 173 0 0 98 10 0 1
F 99 104.975000000 104.975000000 1 0 221 -0.736007 0.062885 -0.092677 0.667645 0.041909 -0.018528 -0.422565 0 0 0.785 165 161 166 173 0 0 99 10 0 1
F 100 105.025000000 105.025000000 1 0 221 -0.736125 0.059517 -0.091985 0.667919 0.005365 -0.017396 -0.419765 0 0 0.776 166 158 165 173 0 0 100 10 0 1
F 101 105.075000000 105.075000000 1 0 221 -0.736079 0.056207 -0.090995 0.668393 -0.031157 -0.016295 -0.416325 0 0 0.777 170 162 166 173 0 0 101 10 0 1
F 102 105.125000000 105.125000000 1 0 210 -0.735738 0.053086 -0.089954 0.669164 -0.071630 -0.015560 -0.414346 0 0 200.389 175 164 170 168 0 0 102 10 0 0
F 103 105.175000000 105.175000000 1 0 210 -0.735415 0.049608 -0.088243 0.670013 -0.107417 -0.017202 -0.421647 0 0 0.032 176 171 175 168 0 0 103 10 0 1
F 104 105.225000000 105.225000000 1 0 210 -0.734833 0.046380 -0.086330 0.671131 -0.142372 -0.015878 -0.417186 0 0 0.778 178 172 176 168 0 0 104 10 0 1
F 105 105.275000000 105.275000000 1 0 210 -0.734045 0.043337 -0.084339 0.672448 -0.179285 -0.013758 -0.413074 0 0 0.778 178 172 178 168 0 0 105 10 0 1
F 106 105.325000000 105.325000000 1 0 208 -0.733093 0.040236 -0.081904 0.673978 -0.214504 -0.012598 -0.409318 0 0 0.776 177 171 178 172 0 0 106 10 0 1
F 107 105.375000000 105.375000000 1 0 189 -0.732005 0.037308 -0.079237 0.675647 -0.248489 -0.011116 -0.404329 0 0 200.502 178 173 177 165 0 0 107 10 0 0
F 108 105.425000000 105.425000000 1 0 189 -0.730769 0.035063 -0.076516 0.677416 -0.285824 -0.005552 -0.399292 0 0 0.787 176 172 178 165 0 0 108 10 0 1
F 109 105.475000000 105.475000000 1 0 189 -0.729465 0.032386 -0.073226 0.679315 -0.317260 -0.004976 -0.392021 0 0 0.779 173 170 176 165 0 0 109 10 0 1
F 110 105.525000000 105.525000000 1 0 189 -0.727941 0.029823 -0.069661 0.681439 -0.346751 -0.004393 -0.386108 0 0 0.703 179 165 173 165 0 0 110 10 0 1
F 111 105.575000000 105.575000000 1 0 189 -0.726356 0.027397 -0.065876 0.683606 -0.375839 -0.004126 -0.378697 0 0 0.775 181 174 179 165 0 0 111 10 0 1
